ID,Granja,Lote,Data,Cranial_Dir,Medio_Dir,Caudal_Dir,Acessorio,Cranial_Es,Medio_Es,Caudal_Es,Cicatrizacao,Pleurisia
65,Copagri,Pesagem,2026-07-14,0,0,0,0,0,0,0,Não,Não
80,Copagri,Pesagem,2026-07-14,2,1,0,0,0,0,0,Não,Não
127,Copagri,Pesagem,2026-07-14,0,0,0,0,0,0,0,Não,Não
92,Copagri,Pesagem,2026-07-14,1,2,1,2,1,2,0,Não,Não
76,Copagri,Pesagem,2026-07-14,3,1,0,0,0,1,0,Não,Não
30,Copagri,Pesagem,2026-07-14,1,1,1,0,0,0,0,Não,Não
119,Copagri,Pesagem,2026-07-14,1,2,0,0,0,0,0,Não,Não
143,Copagri,Pesagem,2026-07-14,3,2,0,1,1,1,0,Não,Não
47,Copagri,Pesagem,2026-07-14,3,3,0,2,0,2,0,Não,Não
129,Copagri,Pesagem,2026-07-14,0,0,0,0,0,0,0,Não,Não
107,Copagri,Pesagem,2026-07-14,2,2,1,0,1,3,1,Não,Não
90,Copagri,Pesagem,2026-07-14,1,2,1,2,2,1,0,Não,Não
123,Copagri,Pesagem,2026-07-14,1,1,0,2,0,1,0,Não,Não
154,Copagri,Pesagem,2026-07-14,0,0,2,0,0,1,0,Não,Não
32,Copagri,Pesagem,2026-07-14,0,1,1,1,0,0,0,Não,Não
108,Copagri,Pesagem,2026-07-14,1,2,0,0,1,1,0,Não,Não
133,Copagri,Pesagem,2026-07-14,0,0,0,0,0,0,0,Não,Não
110,Copagri,Pesagem,2026-07-14,0,0,0,0,0,2,0,Não,Não
41,Copagri,Pesagem,2026-07-14,0,2,1,0,0,1,0,Não,Não
95,Copagri,Pesagem,2026-07-14,0,1,0,0,0,0,0,Não,Não
70,Copagri,Pesagem,2026-07-14,0,1,0,0,0,1,0,Não,Não
106,Copagri,Pesagem,2026-07-14,0,0,0,0,0,0,0,Não,Sim
97,Copagri,Pesagem,2026-07-14,0,0,0,0,0,0,0,Não,Sim
117,Copagri,Pesagem,2026-07-14,1,2,0,0,0,0,0,Não,Não
91,Copagri,Pesagem,2026-07-14,0,1,0,0,0,1,0,Não,Não
121,Copagri,Pesagem,2026-07-14,2,2,1,3,2,2,0,Não,Não
61,Copagri,Pesagem,2026-07-14,3,3,2,0,2,2,1,Não,Não
10,Copagri,Pesagem,2026-07-14,0,0,0,0,0,0,0,Não,Não
144,Copagri,Pesagem,2026-07-14,0,0,0,0,0,0,0,Não,Não
11,Copagri,Pesagem,2026-07-14,0,4,0,0,0,1,0,Não,Não
20,Copagri,Pesagem,2026-07-14,1,2,0,4,0,1,0,Não,Não
132,Copagri,Pesagem,2026-07-14,0,1,3,0,0,1,0,Não,Não
139,Copagri,Pesagem,2026-07-14,0,2,0,3,1,0,0,Não,Não
40,Copagri,Pesagem,2026-07-14,0,1,0,0,0,1,0,Sim,Não
2,Copagri,Pesagem,2026-07-14,0,2,2,1,3,1,0,Não,Não
122,Copagri,Pesagem,2026-07-14,2,2,0,1,0,0,0,Não,Não
67,Copagri,Pesagem,2026-07-14,0,0,0,0,0,1,0,Não,Não
72,Copagri,Pesagem,2026-07-14,2,3,1,1,1,1,0,Não,Não
118,Copagri,Pesagem,2026-07-14,1,2,1,4,0,2,0,Não,Não
51,Copagri,Pesagem,2026-07-14,0,2,1,1,1,1,0,Não,Não
9,Copagri,Pesagem,2026-07-14,1,2,0,0,0,2,0,Não,Não
79,Copagri,Pesagem,2026-07-14,1,2,0,0,0,0,0,Não,Sim
57,Copagri,Pesagem,2026-07-14,2,1,0,0,1,2,1,Não,Não
137,Copagri,Pesagem,2026-07-14,0,1,0,0,0,1,0,Não,Não
48,Copagri,Pesagem,2026-07-14,1,1,0,0,0,0,0,Não,Não
83,Copagri,Pesagem,2026-07-14,1,0,0,0,0,0,0,Não,Não
28,Copagri,Pesagem,2026-07-14,1,3,1,1,1,1,0,Não,Não
66,Copagri,Pesagem,2026-07-14,2,2,1,1,1,1,0,Não,Não
35,Copagri,Pesagem,2026-07-14,0,1,0,1,0,1,0,Sim,Não
78,Copagri,Pesagem,2026-07-14,0,3,0,1,0,0,0,Não,Não
115,Copagri,Pesagem,2026-07-14,0,2,2,4,1,1,0,Não,Não
31,Copagri,Pesagem,2026-07-14,1,0,0,0,1,0,0,Não,Não
3,Copagri,Pesagem,2026-07-14,0,0,0,0,0,0,0,Não,Não
21,Copagri,Pesagem,2026-07-14,1,2,1,0,1,0,0,Não,Não
125,Copagri,Pesagem,2026-07-14,0,0,0,0,0,0,0,Não,Não
34,Copagri,Pesagem,2026-07-14,0,1,1,1,0,1,0,Sim,Não
81,Copagri,Pesagem,2026-07-14,0,0,0,0,0,0,0,Não,Não
8,Copagri,Pesagem,2026-07-14,1,1,0,0,0,0,0,Sim,Não
33,Copagri,Pesagem,2026-07-14,0,2,0,1,1,2,0,Não,Não
60,Copagri,Pesagem,2026-07-14,1,2,1,0,1,2,0,Não,Não
116,Copagri,Pesagem,2026-07-14,1,2,1,1,0,1,0,Não,Não
25,Copagri,Pesagem,2026-07-14,1,3,1,1,1,2,0,Não,Não
103,Copagri,Pesagem,2026-07-14,0,2,1,0,2,1,0,Não,Não
145,Copagri,Pesagem,2026-07-14,0,2,0,1,0,2,0,Não,Não
4,Copagri,Pesagem,2026-07-14,1,1,0,0,1,1,1,Não,Não
158,Copagri,Pesagem,2026-07-14,0,1,0,1,0,1,0,Não,Não
85,Copagri,Pesagem,2026-07-14,0,1,0,1,0,0,0,Não,Não
147,Copagri,Pesagem,2026-07-14,0,1,0,0,0,0,0,Não,Não
71,Copagri,Pesagem,2026-07-14,0,1,1,0,0,0,0,Não,Não
56,Copagri,Pesagem,2026-07-14,0,2,0,0,1,2,1,Não,Não
111,Copagri,Pesagem,2026-07-14,0,1,0,0,0,0,0,Não,Não
141,Copagri,Pesagem,2026-07-14,0,3,0,0,0,0,0,Não,Não
17,Copagri,Pesagem,2026-07-14,3,3,1,1,1,1,0,Não,Não
87,Copagri,Pesagem,2026-07-14,1,2,0,1,0,1,0,Sim,Não
46,Copagri,Pesagem,2026-07-14,1,2,0,0,0,2,0,Sim,Não
64,Copagri,Pesagem,2026-07-14,0,3,1,4,0,2,0,Não,Não
93,Copagri,Pesagem,2026-07-14,0,1,0,0,0,1,0,Não,Não
156,Copagri,Pesagem,2026-07-14,0,0,0,0,0,2,0,Não,Não
39,Copagri,Pesagem,2026-07-14,3,3,1,1,2,2,1,Não,Não
104,Copagri,Pesagem,2026-07-14,2,3,0,0,0,2,0,Não,Não
105,Copagri,Pesagem,2026-07-14,1,3,1,1,0,2,1,Não,Não
150,Copagri,Pesagem,2026-07-14,3,2,1,0,0,2,1,Não,Não
16,Copagri,Pesagem,2026-07-14,0,0,0,0,0,1,0,Não,Não
126,Copagri,Pesagem,2026-07-14,0,1,0,0,0,0,0,Não,Não
86,Copagri,Pesagem,2026-07-14,2,1,0,2,0,1,0,Não,Não
136,Copagri,Pesagem,2026-07-14,2,2,1,0,2,1,1,Não,Não
53,Copagri,Pesagem,2026-07-14,2,3,0,4,0,1,0,Não,Não
112,Copagri,Pesagem,2026-07-14,1,1,0,0,1,1,0,Não,Não
128,Copagri,Pesagem,2026-07-14,1,1,1,1,0,1,0,Não,Não
24,Copagri,Pesagem,2026-07-14,0,1,0,0,0,1,0,Não,Não
45,Copagri,Pesagem,2026-07-14,3,2,1,1,0,2,0,Não,Não
54,Copagri,Pesagem,2026-07-14,0,2,3,0,0,1,0,Não,Não
94,Copagri,Pesagem,2026-07-14,1,2,0,0,2,1,1,Sim,Sim
84,Copagri,Pesagem,2026-07-14,1,2,1,1,0,0,0,Não,Não
26,Copagri,Pesagem,2026-07-14,0,1,0,0,0,1,0,Não,Não
